Sample Number,DateTime GMT,Latitude,Longitude,Altitude_mASL,NumSats,GPSLevel,RC Connected,Fix,OffsetSeconds,DateTime UTC
1787920384,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,357,<nil>
958287705,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,191,<nil>
294866764,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,58,<nil>
3623178073,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,724,<nil>
2788491375,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,557,<nil>
1460162392,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,292,<nil>
3666104141,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,733,<nil>
2149076813,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,429,<nil>
2379949930,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,475,<nil>
52693088,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,10,<nil>
2062896973,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,412,<nil>
4287563936,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,857,<nil>
2186413742,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,437,<nil>
421417380,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,84,<nil>
2785955660,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,557,<nil>
710954829,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,142,<nil>
3629141848,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,725,<nil>
1976258381,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,395,<nil>
3100492,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,0,<nil>
1901285196,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,380,<nil>
3333475808,<nil>,-0.0137755,-0.0000000,<nil>,<nil>,5,<nil>,true,666,<nil>
254562136,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,50,<nil>
1010421216,<nil>,0.0000017,0.0001805,<nil>,<nil>,5,<nil>,true,202,<nil>
2956087140,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,591,<nil>
1070550860,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,214,<nil>
4009971544,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,801,<nil>
1917407053,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,383,<nil>
107892596,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,21,<nil>
2172866393,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>,434,<nil>
